,Title,Artist,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
13276,Work from Home,Fifth Harmony,1,4tCtwWceOPWzenK2HAIJSb,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94E-06,0.0644,0.593,105.017,214480,4
13277,This Is What You Came For,Calvin Harris,1,0azC730Exh71aQlOt9Zj3y,0.63,0.928,9,-2.787,0,0.0331,0.199,0.124,0.148,0.465,123.963,222160,4
13278,Cake by the Ocean,DNCE,1,76hfruVvmfQbw0eYn1nmeC,0.774,0.753,4,-5.445,0,0.0517,0.153,0,0.0371,0.896,119.002,219147,4
13279,"Me, Myself & I",G-Eazy and Bebe Rexha,1,40YcuQysJ0KlGQTeGUosTC,0.757,0.672,0,-6.524,0,0.0955,0.0186,0,0.158,0.382,111.996,251467,4
13280,Ride,Twenty One Pilots,1,2Z8WuEywRWYTKe1NybPQEW,0.645,0.713,6,-5.355,1,0.0393,0.00835,0,0.113,0.566,74.989,214507,4
13281,Heathens,Twenty One Pilots,1,6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58E-05,0.105,0.548,90.024,195920,4
13282,Pillowtalk,Zayn,1,0PDUDa38GO8lMxLCRc4lL1,0.584,0.7,11,-4.275,1,0.0456,0.117,0,0.0939,0.438,124.944,202747,4
13283,Cold Water,Major Lazer,1,7zsXy7vlHdItvUSH8EwQss,0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.501,92.943,185360,4
13284,Send My Love (To Your New Lover),Adele,1,4BHzQ9C00ceJxfG16AlNWb,0.69,0.524,6,-8.39,0,0.103,0.0415,3.16E-06,0.17,0.562,164.023,223080,4
13285,Treat You Better,Shawn Mendes,1,3QGsuHI8jO1Rx4JWLUh9jd,0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,187973,4
13286,Too Good,Drake,1,3BtuIIrQlkujKPuWF2B85z,0.793,0.653,7,-7.839,1,0.103,0.0484,4.91E-05,0.1,0.393,117.993,263373,4
13287,Low Life,Future,1,7EiZI6JVHllARrX9PUvAdX,0.722,0.331,8,-7.789,1,0.0725,0.337,0.283,0.146,0.102,143.974,313547,4
13288,Just Like Fire,Pink,1,7K5dzhGda2vRTaAWYI3hrb,0.632,0.701,7,-5.921,1,0.146,0.0114,0,0.108,0.497,162.958,215414,4
